"Тема","Дата начала","Время начала","Дата завершения","Время завершения","Ежедневное событие","Оповещение вкл/выкл","Дата оповещения","Время оповещения","В это время","Важность","Описание","Пометка"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","05.05.2025","11:15:00","05.05.2025","12:50:00","Ложь","Истина","05.05.2025","11:10:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОС Пз DL ПЗПІ-23-4","12.05.2025","11:15:00","12.05.2025","12:50:00","Ложь","Истина","12.05.2025","11:10:00","2","Обычная","ОС Пз DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","19.05.2025","11:15:00","19.05.2025","12:50:00","Ложь","Истина","19.05.2025","11:10:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","26.05.2025","11:15:00","26.05.2025","12:50:00","Ложь","Истина","26.05.2025","11:10:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОС Лб DL ПЗПІ-23-4","02.06.2025","11:15:00","02.06.2025","12:50:00","Ложь","Истина","02.06.2025","11:10:00","2","Обычная","ОС Лб DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - СмП Зал DL ПЗПІ-23-4","16.06.2025","11:15:00","16.06.2025","12:50:00","Ложь","Истина","16.06.2025","11:10:00","2","Обычная","СмП Зал DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-4 - ОПJа Зал DL ПЗПІ-23-4","23.06.2025","11:15:00","23.06.2025","12:50:00","Ложь","Истина","23.06.2025","11:10:00","2","Обычная","ОПJа Зал DL ПЗПІ-23-4","Обычный"
"ПЗПІ-23-5 - ІМ Конс DL, DL_1 ПЗПІ-23-5","09.06.2025","11:15:00","09.06.2025","12:50:00","Ложь","Истина","09.06.2025","11:10:00","2","Обычная","ІМ Конс DL, DL_1 ПЗПІ-23-5","Обычный"
"ПЗПІ-23-5 - ПрПА Конс DL ПЗПІ-23-5","23.06.2025","11:15:00","23.06.2025","12:50:00","Ложь","Истина","23.06.2025","11:10:00","2","Обычная","ПрПА Конс DL ПЗПІ-23-5","Обычный"
"ПЗПІ-23-1 - ОПJа Пз DL ПЗПІ-23-1","10.03.2025","13:10:00","10.03.2025","14:45:00","Ложь","Истина","10.03.2025","13:05:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","17.03.2025","13:10:00","17.03.2025","14:45:00","Ложь","Истина","17.03.2025","13:05:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","07.04.2025","13:10:00","07.04.2025","14:45:00","Ложь","Истина","07.04.2025","13:05:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Пз DL ПЗПІ-23-1","21.04.2025","13:10:00","21.04.2025","14:45:00","Ложь","Истина","21.04.2025","13:05:00","2","Обычная","ОПJа Пз DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","28.04.2025","13:10:00","28.04.2025","14:45:00","Ложь","Истина","28.04.2025","13:05:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","19.05.2025","13:10:00","19.05.2025","14:45:00","Ложь","Истина","19.05.2025","13:05:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
"ПЗПІ-23-1 - ОПJа Лб DL ПЗПІ-23-1","02.06.2025","13:10:00","02.06.2025","14:45:00","Ложь","Истина","02.06.2025","13:05:00","2","Обычная","ОПJа Лб DL ПЗПІ-23-1","Обычный"
